replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
36,0.493409437017888,NA,0.934782110423684,1,1.09808738464044,0,0.333333333333333,NA,9923789999,2,10000000000
37,0.514072272299202,NA,0.950878393912375,1,1.04238430287722,0,0.333333333333333,NA,9929702810,3,10000000000
38,1.76360087585676,NA,0.150662295150642,0.5,3.42490714747238,0,0.333333333333333,NA,9924130706,0,10000000000
39,1.30504926543034,NA,0,0.25,NA,0.00838230572316578,0.666666666666667,118.298917627921,9923503358,1,10000000000
40,1.82112301117295,NA,0.00110762844397068,0.5,600.886553469785,0.00166144245551769,0.666666666666667,600.886629704741,9924207095,0,10000000000
41,0.946341650752392,NA,0.0463654040271781,1,33.6352547195605,0.0522261086278493,0.666666666666667,18.147511202218,9924172825,0,10000000000
42,0.905500268601819,NA,0.217052388844734,0.75,2.07617457544418,3.62316514184169e-4,0.666666666666667,2759.01772166403,9924228842,0,10000000000
43,0.841138442704311,NA,0,0.25,NA,0,0.333333333333333,NA,9920474336,1,10000000000
44,1.0224698174434,NA,0,0.25,NA,0,0.333333333333333,NA,9924374548,0,10000000000
45,0.611678945692116,NA,0.417959392010433,1,3.53380651688174,0.0543027769144424,0.666666666666667,17.4152645006639,9924197339,0,10000000000
46,3.46019318167757,NA,0,0.25,NA,0,0.333333333333333,NA,9925815730,0,10000000000
47,1.18763864342269,NA,0.486134581271212,1,1.98572986887792,0.0234993013641214,0.666666666666667,41.5544565987309,9923980734,0,10000000000
48,1.71600031009211,NA,0.0772341214039939,0.5,7.63176345568155,0.301315367070417,0.666666666666667,2.31878194505195,9927159189,0,10000000000
49,0.540068288237695,NA,0.480224559644992,1,3.59150640253221,0,0.333333333333333,NA,9920676294,0,10000000000
50,0.649261901517525,NA,0.39668083942207,0.75,1.48368012493205,0,0.333333333333333,NA,9924224104,0,10000000000
51,0.769114712580022,NA,0,0.25,NA,0,0.333333333333333,NA,9925520217,1,10000000000
52,0.525656323656489,NA,0.962859371289282,1,1.05701633608058,0,0.333333333333333,NA,9924542093,2,10000000000
53,0.7130793690951,NA,0.0209391540817775,0.75,31.1430444116555,1.51253451865729e-4,0.666666666666667,6610.41936044757,9924275985,0,10000000000
54,0.992867910267896,NA,0.25151990119805,0.5,1.65055235586199,0,0.333333333333333,NA,9925787349,0,10000000000
55,0.587871210292166,NA,0.366422205233767,1,3.49322332891432,0.44849139548399,0.666666666666667,1.22969718052416,9926936141,6,10000000000
56,0.62181586008438,NA,0.293392553726003,1,3.67794675993949,0,0.333333333333333,NA,9920254384,3,10000000000
57,0.596786436525918,NA,0.756738021291144,1,1.29354399297239,0,0.333333333333333,NA,9922618777,0,10000000000
58,0.682346043173395,NA,0.226121448629094,1,3.00789115496465,0,0.333333333333333,NA,9924164598,1,10000000000
59,0.796235746059022,NA,0.326337774879522,0.75,1.37140662577299,0.166333227633885,0.666666666666667,5.01202786854526,9924255535,0,10000000000
60,0.801575587993746,NA,1.86135652457953e-4,0.5,3580.61726602608,3.87902067682466e-4,0.666666666666667,2576.97027475158,9924214479,0,10000000000
61,1.50852494878992,NA,0,0.25,NA,0,0.333333333333333,NA,9925176348,2,10000000000
62,0.669957323217948,NA,0.309414136334554,0.5,1.15460959400327,0,0.333333333333333,NA,9933455654,4,10000000000
63,1.35442367647194,NA,0.504344982678167,0.75,1.45466366880522,0,0.333333333333333,NA,9924354615,0,10000000000
64,1.14819660973971,NA,0.00510121968830394,0.75,134.419844306133,0.00795662796762286,0.666666666666667,124.681382121825,9924109349,0,10000000000
65,1.09518983205764,NA,0.264189713419217,0.75,1.77800876625456,0.125043375384598,0.666666666666667,6.99722493834064,9924269352,0,10000000000
66,0.48191248032497,NA,0.890364059668067,1,1.37758494285421,0,0.333333333333333,NA,9924243790,0,10000000000
67,0.628479364022607,NA,0.643499639891757,1,1.01912439573293,0.00115069977410176,0.666666666666667,868.036409415044,9924192441,0,10000000000
68,1.0637340656349,NA,0,0.25,NA,0,0.333333333333333,NA,9924346258,0,10000000000
69,0.766318189360927,NA,0,0.25,NA,0,0.333333333333333,NA,9923693112,0,10000000000
70,1.32837868109213,NA,1.07962152977444e-4,0.5,6174.00344593497,1.91802366626748e-4,0.666666666666667,5212.7000058314,9924210183,0,10000000000
71,1.02826465412246,NA,0,0.25,NA,0,0.333333333333333,NA,9921239728,1,10000000000
72,1.55569301391635,NA,0,0.25,NA,0,0.333333333333333,NA,9923986875,0,10000000000
73,0.624561909433642,NA,0.0518922151392099,0.75,19.5479051053883,0,0.333333333333333,NA,9922129102,0,10000000000
74,1.39513231502148,NA,0,0.25,NA,0,0.333333333333333,NA,9919886232,0,10000000000
75,0.747566715126412,NA,0,0.25,NA,0,0.333333333333333,NA,9924310027,0,10000000000
76,0.616407906890338,NA,0.707851618602022,1,1.25007640808247,0.00282122144489905,0.666666666666667,353.456401076947,9924211930,0,10000000000
