carrying_cap,replicate,recip_pop_size,trans_pop_size
1778279410.0389228,25,1757948740,6927027
1778279410.0389228,26,1757385504,7387845
1778279410.0389228,27,1758873829,5925788
1778279410.0389228,28,1758202975,6599661
1778279410.0389228,29,1757954907,6769732
1778279410.0389228,30,1757507363,7269113
1778279410.0389228,31,1758257971,6540115
1778279410.0389228,32,1757692833,7114916
1778279410.0389228,33,1757632994,7192136
1778279410.0389228,34,1757680288,7149927
1778279410.0389228,35,1757385926,7356977
1778279410.0389228,36,1757504119,7272315
1778279410.0389228,37,1724067104,40674644
1778279410.0389228,38,1757565941,7233555
1778279410.0389228,39,1757412337,7445782
1778279410.0389228,40,1757886629,6971791
1778279410.0389228,41,1757594338,7225123
1778279410.0389228,42,1758385041,6450821
1778279410.0389228,43,1758055137,6709660
1778279410.0389228,44,1758273115,6555065
1778279410.0389228,45,1757931543,6860148
1778279410.0389228,46,1757304089,7500168
1778279410.0389228,47,1756526252,8235236
1778279410.0389228,48,1758806777,5987315
1778279410.0389228,49,1756519335,8233696
1778279410.0389228,50,1757970663,6867511
1778279410.0389228,51,1757477763,7311769
1778279410.0389228,52,1758202579,6618424
1778279410.0389228,53,1757788598,6986147
1778279410.0389228,54,1757316086,7428553
1778279410.0389228,55,1757506726,7295629
1778279410.0389228,56,1757267901,7501699
1778279410.0389228,57,1757080063,7710777
1778279410.0389228,58,1757557225,7246954
1778279410.0389228,59,1758213548,6552900
1778279410.0389228,60,1759146767,5665624
1778279410.0389228,61,1758404769,6392439
1778279410.0389228,62,1757618213,7242119
1778279410.0389228,63,1758621611,6163669
1778279410.0389228,64,1757505366,7285811
1778279410.0389228,65,1757459883,7298060
1778279410.0389228,66,1757343068,7476012
1778279410.0389228,67,1758149918,6653576
1778279410.0389228,68,1758179685,6653195
1778279410.0389228,69,1761167304,3618495
1778279410.0389228,70,1759293390,5532224
1778279410.0389228,71,1757736005,6997359
1778279410.0389228,72,1756943636,7871111
1778279410.0389228,73,1758212537,6535889
1778279410.0389228,74,1758439672,6448071
1778279410.0389228,75,1757771650,7015398
