replicate,time_CFU_trans,time_CFU_recip,Even_trans,prop_trans,ratio_trans,Even_recip,prop_recip,ratio_recip,trans_pop_size,recip_pop_size,carrying_cap
38,1.87306594804845,1.65333126834839,0.980939284167751,1,1.05711622654267,3.03527113301394e-4,0.666666666666667,3293.59859161476,204829628,9719305212,10000000000
39,2.09173851599799,1.87358476094417,0.980304534872245,1,1.03488141679993,0,0.333333333333333,NA,198744092,9725752484,10000000000
40,0.817562974920602,0.58732203847188,0.998032712111847,1,1.00568626183783,0.341821363257533,0.666666666666667,1.9255046860444,234383930,9690028537,10000000000
41,1.12330234803542,0.905944919390277,0.984529867441944,1,1.04781097257555,0,0.333333333333333,NA,229031220,9695053772,10000000000
42,0.860919739559303,0.63244651097986,0.997160689741414,1,1.0059398141746,0,0.333333333333333,NA,233152517,9691014979,10000000000
43,1.67741051819494,1.45152762663791,0.992703041462509,1,1.01505664931272,0.173620673279115,0.666666666666667,4.75968276768738,208412038,9715843193,10000000000
44,3.63342108846854,3.40913340559147,0.983254660473227,1,1.01801463351587,0.413160598774713,0.666666666666667,1.42036632477938,148091095,9776442905,10000000000
45,0.766943884570332,0.598363964759329,0.823930410013019,1,1.83038454748701,0,0.333333333333333,NA,286052494,9638121535,10000000000
46,4.48672548630149,4.26006117413448,0.987663573357387,1,1.04301814839368,1.19496218347726e-4,0.666666666666667,8367.46566215991,120663115,9803684420,10000000000
47,0.811906757469558,0.580072147089638,0.993790062059431,1,1.01866838248221,0,0.333333333333333,NA,234133204,9690132594,10000000000
48,2.27440883495775,2.04669185527382,0.995069738530194,1,1.01278854145333,5.1620586358947e-4,0.666666666666667,1936.21162531268,189563239,9734859092,10000000000
49,0.876255705822944,0.658416292138831,0.987456637899122,1,1.04294968566461,0,0.333333333333333,NA,236581307,9687605211,10000000000
50,3.07124180855309,2.85762671524869,0.961918331769517,1,1.13574912035333,0,0.333333333333333,NA,170101004,9754136584,10000000000
51,2.81708672673844,2.59362343937572,0.987093540691894,1,1.01297925312488,0.166546079142501,1,5.01639029259293,174079398,9750212867,10000000000
52,0.763337215763262,0.537161956874184,0.99552551352374,1,1.01524178326284,0,0.333333333333333,NA,237557242,9686614174,10000000000
53,1.80006399702718,1.57741832299785,0.988402451148837,1,1.02936147674484,0.113327965069401,0.666666666666667,7.82394737598622,205329623,9719121560,10000000000
54,1.64592046344042,1.42215937909391,0.993753441256185,1,1.01564072815409,0,0.333333333333333,NA,210384051,9713886177,10000000000
55,0.843858302379289,0.615250302063814,0.994534546189366,1,1.00351596437441,0,0.333333333333333,NA,233668184,9690561464,10000000000
56,0.840804726543806,0.611834515829049,0.998918389956681,1,1.00154719091395,0,0.333333333333333,NA,233725024,9690525832,10000000000
57,0.853084395075063,0.662041832377683,0.918994439937414,1,1.31656425312216,0,0.333333333333333,NA,254239824,9669998985,10000000000
58,2.28031289609209,2.07688936367004,0.96514284008261,1,1.0541119693506,0.317424463677789,0.666666666666667,2.15035579934091,200075260,9724141634,10000000000
59,0.877542403058311,0.662258479306512,0.980044806557338,1,1.0696099786121,0,0.333333333333333,NA,237183736,9686966062,10000000000
60,1.00787072470925,0.784420785235094,0.987069650770543,1,1.03970786918496,0,0.333333333333333,NA,230164910,9694032604,10000000000
61,1.70503979786668,1.47883410294127,0.996004862266859,1,1.00776802059239,0.00385561510234034,0.666666666666667,258.361988543153,207574237,9716635257,10000000000
62,1.35903600575841,1.15447018423453,0.957432936640227,1,1.13908378290568,0.086849365970201,0.666666666666667,10.5141888352197,228372257,9695933446,10000000000
63,0.697566211562816,0.496547404636337,0.955090735860555,1,1.14604905366176,0,0.333333333333333,NA,250940696,9673390185,10000000000
64,1.26629525568171,1.0382629023734,0.997452063063461,1,1.00378196736016,0.433867515937831,0.666666666666667,1.30485105076013,220521549,9703842246,10000000000
65,3.25217890653866,3.08331440669078,0.748257806286897,1,2.32219297571301,0.423406840110594,1,3.06225349872242,208583866,9715613655,10000000000
66,1.65850583284211,1.44133660897645,0.985348497610928,1,1.04973408233324,0.249242159586764,0.666666666666667,3.01216231498704,212395215,9712038569,10000000000
